Product ID,Product Line,Product Category,Product Group,Product Name,Supplier ID
210100100001,Children,Children Outdoors,"Outdoor things, Kids",Boy's and Girl's Ski Pants with Braces,50
210100100002,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket,4742
210100100003,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket Sidney,50
210100100004,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Set,50
210100100005,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Suit,50
210100100006,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit for Children,50
210100100007,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit,772
210100100008,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit Tonado,50
210100100009,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket Oliver,50
210100100010,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket w/Removable Fleece,50
210100100011,Children,Children Outdoors,"Outdoor things, Kids",Tiny Mouse Children's Mitten,6355
210100100012,Children,Children Outdoors,"Outdoor things, Kids",4ce Ace Children's Jacket,50
210100100013,Children,Children Outdoors,"Outdoor things, Kids",4ce Expedition Down Jacket,50
210100100014,Children,Children Outdoors,"Outdoor things, Kids",4ce Filip Children's Rainwear,50
210100100015,Children,Children Outdoors,"Outdoor things, Kids",4ce Grover Snow Jacket,50
210100100016,Children,Children Outdoors,"Outdoor things, Kids",4ce Jaguar Snow Pants,50
210100100017,Children,Children Outdoors,"Outdoor things, Kids",4ce Tiger Ski Jacket with Hood,50
210100100018,Children,Children Outdoors,"Outdoor things, Kids",Amarone Children's Shorts,50
210100100019,Children,Children Outdoors,"Outdoor things, Kids",Blondie Girl's Ski Jacket,50
210100100020,Children,Children Outdoors,"Outdoor things, Kids",Dean Creek Children's Vest,50
210100100021,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Down Jacket,109
210100100022,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Vest,109
210100100023,Children,Children Outdoors,"Outdoor things, Kids",Massif Freeride Jr.Gtx Gloves,13199
210100100024,Children,Children Outdoors,"Outdoor things, Kids",Massif Penquin Polyester Socks,13199
210100100025,Children,Children Outdoors,"Outdoor things, Kids",Monster Children's Pants with Zipper,50
210100100026,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's Gloves,6355
210100100027,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's mitten,6355
210100100028,Children,Children Outdoors,"Outdoor things, Kids",Ranger Children's T-Shirt,50
210100100029,Children,Children Outdoors,"Outdoor things, Kids",Scania Children's Gloves,6355
210100100030,Children,Children Outdoors,"Outdoor things, Kids",Scania Goretex Junior Gloves,6355
210100100031,Children,Children Outdoors,"Outdoor things, Kids",Tasmania Children's Shirt,50
210100100032,Children,Children Outdoors,"Outdoor things, Kids",Tony's Nuptse Jacket,15218
210100100033,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Down Jacket,14648
210100100034,Children,Children Outdoors,"Outdoor things, Kids","Top Children's R&D Jacket, Long",14648
210100100035,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Pants,14648
210100100036,Children,Children Outdoors,"Outdoor things, Kids",Top Children's Ski Pullover,14648
210100100037,Children,Children Outdoors,"Outdoor things, Kids","Top Junior Fleece Hat, Polyester",14648
210100100038,Children,Children Outdoors,"Outdoor things, Kids",Top Junior T-Neck Fleece,14648
210100100039,Children,Children Outdoors,"Outdoor things, Kids",Twain Flash 100 Jr. Ski Gloves,13198
210100100040,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Jacket,772
210100100041,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Pants,772
210100100042,Children,Children Outdoors,"Outdoor things, Kids",3 K Children's Shoes,2963
210100100043,Children,Children Outdoors,"Outdoor things, Kids",3top Children's Shoes,2963
210100100044,Children,Children Outdoors,"Outdoor things, Kids",3top Infant Baby Shoes,2963
210100100045,Children,Children Outdoors,"Outdoor things, Kids",4goal 2 Trx Junior Football Boots,2963
210100100046,Children,Children Outdoors,"Outdoor things, Kids",4goal Trx J Football Boots,2963
210100100047,Children,Children Outdoors,"Outdoor things, Kids",Ana Mini Panty,4742
210100100048,Children,Children Outdoors,"Outdoor things, Kids",Ana Shorts,4742
210100100049,Children,Children Outdoors,"Outdoor things, Kids",Ana Top,4742
210100100050,Children,Children Outdoors,"Outdoor things, Kids",Ancnw Children's Shoes,2963
210200100001,Children,Children Sports,"A-Team, Kids",A-team Children's Shorts w/Pockets,3298
210200100002,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat Pants,3298
210200100003,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat R.Neck Big Logo,3298
210200100004,Children,Children Sports,"A-Team, Kids","A-team Children's Sweat w/Hood,Big Logo",3298
210200100005,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt,3298
210200100006,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt w/Big Logo,3298
210200100007,Children,Children Sports,"A-Team, Kids",A-team Shiny Children's Pants,3298
210200100008,Children,Children Sports,"A-Team, Kids",Fleece Children's Fleece w/Hood,3298
210200100009,Children,Children Sports,"A-Team, Kids","Kids Sweat Round Neck,Large Logo",3298
